cycle,branch,type,matchup,forecastdate,state,startdate,enddate,samplesize,population,poll_wt,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin,multiversions,poll_id
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/25/2016,10/31/2016,24316.0,likely voters,6.139129,42.6414,40.86509,5.675099,0.0,0.0,47940
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/27/2016,10/30/2016,1128.0,likely voters,4.197292,43.29659,44.72984,3.401513,0.0,0.0,47881
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Virginia,10/27/2016,10/30/2016,1024.0,likely voters,3.876856,46.29779,40.72604,6.401513,0.0,0.0,47880
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Florida,10/20/2016,10/24/2016,1251.0,likely voters,3.403096,46.35931,45.30585,1.77773,0.0,0.0,47465
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/20/2016,10/25/2016,2120.0,registered voters,3.394646,45.32744,42.20888,3.61832,0.0,0.0,47616
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/22/2016,10/25/2016,1221.0,likely voters,3.346535,44.6508,42.26663,6.114222,0.0,0.0,47542
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/26/2016,10/31/2016,1018.0,likely voters,3.275062,46.21834,43.56017,3.15359,0.0,0.0,47875
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Pennsylvania,10/25/2016,10/30/2016,3217.0,registered voters,3.21775,46.89049,43.50333,3.466432,0.0,0.0,47867
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/23/2016,10/27/2016,1158.0,likely voters,3.144926,41.22576,37.24948,6.420006,0.0,0.0,47643
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/29/2016,10/31/2016,2600.0,likely voters,3.044326,42.21983,41.6954,4.220173,0.0,0.0,47995
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/25/2016,10/31/2016,3145.0,likely voters,2.956711,44.53217,43.84845,0.0,0.0,0.0,47874
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Florida,10/25/2016,10/27/2016,815.0,likely voters,2.755075,41.81832,47.92262,2.676897,0.0,0.0,47771
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,California,10/14/2016,10/23/2016,1024.0,likely voters,2.739877,55.68839,29.50605,3.17051,0.0,0.0,47545
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/29/2016,10/30/2016,1772.0,likely voters,2.729417,43.31551,40.34972,5.823322,0.0,0.0,47786
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,North Carolina,10/25/2016,10/26/2016,780.0,likely voters,2.727504,45.20793,42.01937,6.499082,0.0,0.0,47775
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Florida,10/25/2016,10/26/2016,779.0,likely voters,2.72452,43.19458,45.07725,3.499082,0.0,0.0,47776
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/20/2016,10/24/2016,1212.0,likely voters,2.714895,50.18283,39.33826,5.044833,0.0,0.0,47538
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Florida,10/21/2016,10/24/2016,805.0,likely voters,2.694791,42.67789,46.11255,3.054228,0.0,0.0,47469
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Pennsylvania,10/26/2016,10/28/2016,1091.0,likely voters,2.61956,47.77047,39.80679,6.359501,0.0,0.0,47777
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Pennsylvania,10/23/2016,10/25/2016,824.0,likely voters,2.584576,45.74354,41.34735,4.421316,0.0,0.0,47551
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/14/2016,10/17/2016,1000.0,likely voters,2.538795,46.84417,39.99571,6.27284,0.0,0.0,47060
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Missouri,10/27/2016,10/28/2016,1698.0,likely voters,2.502021,38.51061,50.7572,0.0,0.0,0.0,47860
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Colorado,10/26/2016,10/28/2016,997.0,likely voters,2.487104,41.75385,38.87231,8.359501,0.0,0.0,47780
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/22/2016,10/26/2016,1209.0,likely voters,2.485111,45.63602,41.55637,4.964521,0.0,0.0,47608
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Arizona,10/26/2016,10/28/2016,994.0,likely voters,2.482707,41.76,43.84806,5.359501,0.0,0.0,47778
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/25/2016,10/26/2016,1824.0,registered voters,2.479879,45.78602,45.0337,2.193952,0.0,0.0,47631
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,North Carolina,10/26/2016,10/28/2016,992.0,likely voters,2.479769,47.77576,44.78595,4.359501,0.0,0.0,47779
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/27/2016,10/31/2016,1500.0,likely voters,2.475616,44.50363,44.1804,5.160502,0.0,0.0,47934
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/24/2016,10/30/2016,40816.0,likely voters,2.446905,45.66489,40.41809,3.333669,0.0,0.0,47869
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Missouri,10/23/2016,10/25/2016,2559.0,likely voters,2.436428,38.42823,49.47709,4.308866,0.0,0.0,47615
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,New Hampshire,10/20/2016,10/24/2016,768.0,likely voters,2.409964,43.04313,38.24964,7.959227,0.0,0.0,47539
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Pennsylvania,10/30/2016,10/30/2016,1249.0,likely voters,2.402631,44.7114,41.14791,4.065788,0.0,0.0,47850
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Ohio,10/30/2016,10/30/2016,1187.0,likely voters,2.352779,42.7114,46.14791,4.065788,0.0,0.0,47849
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,North Carolina,10/30/2016,10/30/2016,1176.0,likely voters,2.343616,44.7114,45.14791,3.065788,0.0,0.0,47848
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Wisconsin,10/30/2016,10/30/2016,1172.0,likely voters,2.34026,45.7114,40.14791,5.065788,0.0,0.0,47852
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/24/2016,10/30/2016,1299.0,likely voters,2.335762,46.38828,44.13978,0.0,0.0,0.0,47882
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,North Carolina,10/20/2016,10/23/2016,792.0,likely voters,2.325438,45.74498,41.64333,6.137042,0.0,0.0,47325
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,New Mexico,10/24/2016,10/24/2016,1899.0,likely voters,2.315098,43.73338,39.62985,9.695195,0.0,0.0,47612
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Arizona,10/22/2016,10/24/2016,2385.0,likely voters,2.30712,45.73579,46.35058,4.172206,0.0,0.0,47630
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Virginia,10/30/2016,10/30/2016,1106.0,likely voters,2.282895,46.7114,41.14791,4.065788,0.0,0.0,47868
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Iowa,10/20/2016,10/26/2016,791.0,likely voters,2.282363,44.08772,44.58124,2.92435,0.0,0.0,47618
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Virginia,10/28/2016,10/30/2016,800.0,likely voters,2.231109,48.63733,43.2056,2.953504,0.0,0.0,47877
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Minnesota,10/22/2016,10/26/2016,656.0,likely voters,2.22825,47.3517,39.01773,5.062005,0.0,0.0,47712
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/17/2016,10/18/2016,1007.0,likely voters,2.196568,47.20443,41.15833,5.325565,0.0,0.0,47078
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Texas,10/21/2016,10/22/2016,1031.0,likely voters,2.18948,42.63636,46.87188,5.680246,0.0,0.0,47237
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/20/2016,10/24/2016,1000.0,likely voters,2.180449,46.95812,39.36292,4.31719,0.0,0.0,47530
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Florida,10/20/2016,10/25/2016,819.0,likely voters,2.179954,43.94143,42.24168,4.507492,0.0,0.0,47549
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Florida,10/30/2016,10/30/2016,989.0,likely voters,2.171098,43.7114,46.14791,3.065788,0.0,0.0,47846
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Maine,10/28/2016,10/30/2016,750.0,likely voters,2.170599,45.63095,40.2258,4.953504,0.0,0.0,47879
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Georgia,10/25/2016,10/31/2016,2665.0,likely voters,2.166949,42.73449,45.10929,4.46675,0.0,0.0,47893
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Nevada,10/20/2016,10/24/2016,707.0,likely voters,2.166455,41.09849,44.92952,7.959227,0.0,0.0,47540
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,New Hampshire,10/26/2016,10/30/2016,618.0,likely voters,2.164785,45.78382,40.53563,6.023805,0.0,0.0,47871
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Texas,10/27/2016,10/29/2016,980.0,likely voters,2.158698,39.79761,50.76878,3.286923,0.0,0.0,47993
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Pennsylvania,10/26/2016,10/30/2016,652.0,likely voters,2.157484,48.5308,39.71922,4.154008,0.0,0.0,47876
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,California,10/25/2016,10/31/2016,2505.0,likely voters,2.142356,53.72084,29.1581,4.46675,0.0,0.0,47887
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Florida,10/25/2016,10/26/2016,1301.0,registered voters,2.140121,47.7879,47.02554,1.193952,0.0,0.0,47767
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Colorado,10/30/2016,10/30/2016,952.0,likely voters,2.132726,44.7114,42.14791,5.065788,0.0,0.0,47845
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/20/2016,10/21/2016,990.0,likely voters,2.132376,45.05301,41.09445,5.083591,0.0,0.0,47527
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Florida,10/25/2016,10/31/2016,2809.0,likely voters,2.131108,44.72326,44.14946,2.46675,0.0,0.0,47892
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Georgia,10/17/2016,10/20/2016,839.0,likely voters,2.13071,41.87008,46.25708,6.488977,0.0,0.0,47158
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Florida,10/21/2016,10/22/2016,1042.0,likely voters,2.126459,45.63017,43.90773,3.680246,0.0,0.0,47236
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Georgia,10/25/2016,10/27/2016,683.0,registered voters,2.126121,41.7627,50.48988,2.624004,0.0,0.0,47785
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/21/2016,10/24/2016,724.0,likely voters,2.125523,41.91822,36.25222,5.309163,0.0,0.0,47550
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,North Carolina,10/25/2016,10/26/2016,1273.0,registered voters,2.117863,48.80125,46.96766,1.193952,0.0,0.0,47766
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Virginia,10/20/2016,10/26/2016,749.0,likely voters,2.116462,50.11597,38.43544,2.92435,0.0,0.0,47620
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Florida,10/25/2016,10/26/2016,742.0,likely voters,2.113402,46.88216,43.8345,0.0,0.0,0.0,47637
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Kentucky,10/26/2016,10/28/2016,811.0,likely voters,2.106601,31.80767,54.75208,0.0,0.0,0.0,47792
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Georgia,10/20/2016,10/26/2016,707.0,likely voters,2.093492,43.14038,44.30946,6.92435,0.0,0.0,47617
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/20/2016,10/23/2016,779.0,likely voters,2.083295,47.83393,43.25948,1.689483,0.0,0.0,47314
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Ohio,10/26/2016,10/27/2016,800.0,likely voters,2.07418,44.50785,43.74232,5.675094,0.0,0.0,47757
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Vermont,10/24/2016,10/26/2016,1052.0,likely voters,2.070199,50.66944,26.71407,4.715528,0.0,0.0,47640
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Idaho,10/21/2016,10/23/2016,1023.0,likely voters,2.065228,20.01258,49.56269,0.0,0.0,0.0,47339
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Texas,10/25/2016,10/31/2016,2051.0,likely voters,2.056315,39.72546,46.14158,5.46675,0.0,0.0,47926
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Pennsylvania,10/25/2016,10/31/2016,2255.0,likely voters,2.044662,47.72671,40.13711,3.46675,0.0,0.0,47921
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,North Carolina,10/21/2016,10/22/2016,875.0,likely voters,2.042292,46.06748,44.81387,4.205119,0.0,0.0,47248
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,North Carolina,10/20/2016,10/26/2016,702.0,likely voters,2.012809,47.12807,43.37304,3.92435,0.0,0.0,47619
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Virginia,10/25/2016,10/31/2016,2089.0,likely voters,2.011782,46.72589,37.14005,5.46675,0.0,0.0,47929
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,South Carolina,10/25/2016,10/31/2016,1762.0,likely voters,1.984197,41.73411,44.11066,3.46675,0.0,0.0,47923
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,New York,10/25/2016,10/31/2016,1734.0,likely voters,1.976254,54.72102,32.15746,2.46675,0.0,0.0,47915
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Ohio,10/25/2016,10/31/2016,1823.0,likely voters,1.949638,38.72247,44.15226,6.46675,0.0,0.0,47918
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Nevada,10/30/2016,10/30/2016,787.0,likely voters,1.940524,43.7114,46.14791,5.065788,0.0,0.0,47847
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Maine,10/20/2016,10/25/2016,670.0,likely voters,1.902577,47.56355,39.87309,4.353873,0.0,0.0,47772
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Michigan,10/25/2016,10/31/2016,1649.0,likely voters,1.900978,41.72126,41.15661,5.46675,0.0,0.0,47905
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/21/2016,10/24/2016,900.0,likely voters,1.899239,48.55824,39.86935,3.080554,0.0,0.0,47355
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Virginia,10/23/2016,10/26/2016,814.0,likely voters,1.892539,46.95389,42.00444,2.96151,0.0,0.0,47634
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,North Carolina,10/25/2016,10/31/2016,1574.0,likely voters,1.877583,45.73015,43.12482,4.46675,0.0,0.0,47916
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Missouri,10/24/2016,10/26/2016,625.0,likely voters,1.865284,40.41095,47.89443,2.779283,0.0,0.0,47629
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Colorado,10/25/2016,10/31/2016,1532.0,likely voters,1.863757,41.7159,38.17576,8.466749,0.0,0.0,47888
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/14/2016,10/16/2016,726.0,likely voters,1.85766,48.77353,39.80119,3.919255,0.0,0.0,46886
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Missouri,10/28/2016,10/31/2016,405.0,likely voters,1.845925,36.86025,51.30836,4.681268,0.0,0.0,47996
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Arizona,10/25/2016,10/31/2016,1457.0,likely voters,1.837654,41.7199,43.16145,5.46675,0.0,0.0,47885
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,North Carolina,10/26/2016,10/27/2016,650.0,likely voters,1.818245,47.51965,43.6958,3.675094,0.0,0.0,47759
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Kansas,10/25/2016,10/31/2016,1273.0,likely voters,1.811044,34.71851,46.16644,9.466749,0.0,0.0,47899
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Illinois,10/16/2016,10/18/2016,1200.0,likely voters,1.802188,50.25616,36.88839,4.397091,0.0,0.0,47315
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/22/2016,10/26/2016,1050.0,likely voters,1.795501,44.18933,38.77402,6.157888,0.0,,47638
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/11/2016,10/14/2016,845.0,likely voters,1.790357,44.67489,37.15985,3.914717,0.0,0.0,47062
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Indiana,10/27/2016,10/30/2016,402.0,likely voters,1.78913,37.82618,49.41636,4.597736,0.0,0.0,47857
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Florida,10/22/2016,10/26/2016,1028.0,likely voters,1.77842,48.54199,40.76155,3.507888,0.0,,47639
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Wisconsin,10/18/2016,10/19/2016,804.0,likely voters,1.729988,47.68439,38.00763,0.0,0.0,0.0,47087
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Wisconsin,10/25/2016,10/31/2016,1195.0,likely voters,1.72919,42.7181,41.1679,4.46675,0.0,0.0,47932
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Michigan,10/22/2016,10/24/2016,600.0,likely voters,1.728788,41.56248,36.47088,7.341999,0.0,0.0,47548
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Florida,10/19/2016,10/19/2016,1000.0,likely voters,1.724671,43.73679,44.8174,2.464277,0.0,0.0,47462
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Utah,10/25/2016,10/31/2016,1078.0,likely voters,1.713576,28.71826,32.16731,4.46675,26.0,0.0,47927
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,California,10/13/2016,10/15/2016,725.0,likely voters,1.712487,54.62292,31.15174,2.987635,0.0,0.0,46947
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Nevada,10/20/2016,10/23/2016,800.0,likely voters,1.694016,46.53946,42.88154,5.218653,0.0,0.0,47318
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Nevada,10/25/2016,10/25/2016,875.0,registered voters,1.674052,45.73999,46.2872,3.065412,0.0,0.0,47655
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Minnesota,10/20/2016,10/22/2016,625.0,likely voters,1.672715,45.34961,40.75738,5.24644,0.0,0.0,47319
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/9/2016,10/13/2016,1101.0,likely voters,1.670946,46.0958,42.26845,4.313881,0.0,0.0,46871
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/12/2016,10/18/2016,1029.0,registered voters,1.665671,48.16418,41.12745,0.0,0.0,0.0,47611
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,New Mexico,10/25/2016,10/31/2016,987.0,likely voters,1.65981,42.71827,33.16729,14.46675,0.0,0.0,47914
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Iowa,10/25/2016,10/31/2016,984.0,likely voters,1.657931,38.71593,44.17565,7.46675,0.0,0.0,47898
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Illinois,10/27/2016,10/30/2016,500.0,likely voters,1.653665,52.63655,39.20806,1.953504,0.0,0.0,47878
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,South Dakota,10/19/2016,10/21/2016,1115.0,likely voters,1.65329,36.42294,48.26057,5.781412,0.0,0.0,47346
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,New Hampshire,10/17/2016,10/21/2016,772.0,likely voters,1.651239,42.63734,39.70905,8.322947,0.0,0.0,47326
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Texas,10/22/2016,10/24/2016,800.0,likely voters,1.650769,37.42928,46.33903,5.412182,0.0,0.0,47529
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Montana,10/10/2016,10/12/2016,1003.0,likely voters,1.649379,34.81863,48.56234,9.360102,0.0,0.0,46870
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Illinois,10/25/2016,10/31/2016,1003.0,likely voters,1.648527,50.72356,34.14838,5.46675,0.0,0.0,47896
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Washington,10/20/2016,10/22/2016,502.0,likely voters,1.645033,47.73112,34.26857,1.462773,0.0,0.0,47316
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Illinois,10/26/2016,10/27/2016,600.0,likely voters,1.640081,45.58908,35.72532,5.544566,0.0,0.0,48000
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Florida,10/25/2016,10/26/2016,698.0,likely voters,1.634067,42.44762,45.19785,0.0,0.0,0.0,47621
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Utah,10/20/2016,10/27/2016,823.0,likely voters,1.63159,22.92762,32.55424,3.448703,30.37534,0.0,47781
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Nevada,10/25/2016,10/31/2016,1010.0,likely voters,1.631124,41.72206,41.15372,9.466749,0.0,0.0,47911
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Nevada,10/26/2016,10/27/2016,550.0,likely voters,1.623938,43.50722,40.74479,2.675094,0.0,0.0,47760
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Pennsylvania,10/7/2016,10/11/2016,806.0,likely voters,1.619184,48.28355,41.05856,3.782832,0.0,0.0,46776
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,North Carolina,10/23/2016,10/27/2016,535.0,likely voters,1.615122,41.81535,43.26671,1.942694,0.0,0.0,47937
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Kentucky,10/25/2016,10/30/2016,602.0,likely voters,1.60969,35.92733,53.66605,1.450507,0.0,0.0,47938
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,New Hampshire,10/23/2016,10/25/2016,600.0,likely voters,1.595654,45.32554,42.72147,5.280114,0.0,0.0,47652
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Arizona,10/29/2016,10/30/2016,550.0,likely voters,1.58532,41.64209,45.25915,3.15742,0.0,0.0,47994
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Pennsylvania,10/25/2016,10/26/2016,550.0,likely voters,1.565786,47.47349,41.95567,5.535694,0.0,0.0,47654
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Utah,10/23/2016,10/24/2016,750.0,likely voters,1.565439,28.19793,33.3695,3.388899,29.37534,0.0,47525
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Idaho,10/23/2016,10/24/2016,750.0,likely voters,1.565439,29.23481,49.49641,5.487112,0.0,0.0,47609
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,U.S.,10/12/2016,10/16/2016,778.0,likely voters,1.555735,46.996,40.40553,5.078035,0.0,0.0,46954
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Massachusetts,10/24/2016,10/26/2016,500.0,likely voters,1.552519,56.55489,26.40688,4.828505,0.0,0.0,47614
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,North Carolina,10/14/2016,10/16/2016,651.0,likely voters,1.543743,44.57658,44.89416,5.056914,0.0,0.0,47057
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Utah,10/12/2016,10/14/2016,951.0,likely voters,1.525056,19.80207,38.41128,6.448933,21.40752,0.0,46866
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Massachusetts,10/25/2016,10/31/2016,796.0,likely voters,1.523897,56.70058,28.23054,4.46675,0.0,0.0,47904
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Florida,10/26/2016,10/27/2016,500.0,likely voters,1.518462,45.50905,43.73757,3.675094,0.0,0.0,47756
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,New Hampshire,10/22/2016,10/25/2016,401.0,likely voters,1.517161,44.51413,42.93306,6.924345,0.0,0.0,47528
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,New York,10/13/2016,10/17/2016,611.0,likely voters,1.514922,53.93544,33.55711,2.416225,0.0,0.0,47059
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,North Carolina,10/10/2016,10/15/2016,788.0,likely voters,1.513483,47.15092,46.90791,1.826469,0.0,0.0,46883
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Maine,10/24/2016,10/26/2016,812.0,likely voters,1.508713,42.72583,38.54995,7.795682,0.0,0.0,47997
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Louisiana,10/17/2016,10/19/2016,625.0,likely voters,1.506439,32.47404,55.76905,0.9115855,0.0,0.0,47155
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Minnesota,10/25/2016,10/31/2016,773.0,likely voters,1.504949,44.71736,36.17055,6.46675,0.0,0.0,47906
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Ohio,10/10/2016,10/15/2016,774.0,likely voters,1.49315,43.15221,48.09313,1.826469,0.0,0.0,46885
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Nevada,10/12/2016,10/14/2016,996.0,likely voters,1.491825,45.94579,41.76702,3.817233,0.0,0.0,46867
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Washington,10/25/2016,10/31/2016,745.0,likely voters,1.480997,51.71312,33.1857,4.46675,0.0,0.0,47930
2016,President,polls-plus,Clinton vs. Trump vs. Johnson,11/1/16,Ohio,10/10/2016,10/12/2016,724.0,likely voters,1.480654,39.55144,44.7854,5.95136,0.0,0.0,46789
